,0
326,3121.6316706022726
327,3133.8853003212676
328,3109.8207320592564
329,2902.2694821027358
330,2710.1329393343476
331,2850.5305619000605
332,2864.787015905444
333,2763.9170558353158
334,2667.373568327256
335,2828.409881904723
336,2811.6688128956353
337,2758.984717712161
338,2699.4611988259276
339,2680.4567483126
340,2623.732132046021
341,2660.1660840595723
342,2563.709846710473
343,2595.052511777265
344,2605.068753737316
345,2535.881410670454
346,2649.7162216767438
347,2680.8332912536916
348,2727.32871595622
349,2853.6635938777004
350,2917.887718123574
351,3073.9238721260435
352,3192.3393340435005
353,2773.5908197746994
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
